"","loop","WT_1","WT_2","WT_3","TRT_1","TRT_2","TRT_3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"9688",9688,60,76,52,64,67,77,65.4105236131676,-0.00146101612092743,0.054692169372382,0.900863388662566,0.999999433852421
"9689",9689,3,4,5,4,5,4,4.19973683298291,0.000538683518924005,0.0558990891984952,0.878333656805092,0.999999433852421
"9690",9690,39,37,29,40,33,33,34.9591243208415,0.000491244589333144,0.0551929655858445,0.959670133273274,0.999999433852421
"9691",9691,48,54,34,80,56,80,56.2253989518044,9.71420923680644e-05,0.0548214230417509,0.994455149020659,0.999999433852421
"9692",9692,10,11,8,6,9,8,8.52981352775537,0.00104117281088289,0.0557936409718123,0.836924616782197,0.999999433852421
"9693",9693,13,7,10,8,8,9,9.0054994642732,0.00136982232254489,0.0557912452433273,0.791758142432646,0.999999433852421
"9694",9694,83,65,88,69,57,85,73.5863280646879,0.000581266435905361,0.0545511958791958,0.963673045696878,0.999999433852421
"9696",9696,77,69,75,61,68,106,74.8083339863599,0.001018165715207,0.0545416093349405,0.936246228151549,0.999999433852421
"9697",9697,52,65,38,57,31,53,47.8748988659641,3.40961171418015e-05,0.0549565015659822,0.998770314597218,0.999999433852421
"9698",9698,48,41,67,58,63,72,57.1140734396746,0.000685817043716515,0.0548057025409815,0.952988748824318,0.999999433852421
"9699",9699,11,12,12,11,8,8,10.1960655486692,-0.00107263354754203,0.0557513199385514,0.84271106810632,0.999999433852421
"9700",9700,115,96,105,55,78,89,87.3015922420743,0.0010126036817565,0.0543824395197261,0.938895368183546,0.999999433852421
"9701",9701,43,52,63,74,48,65,56.5011105945532,-0.000329193902295904,0.0548081489920903,0.97556843289448,0.999999433852421
"9702",9702,53,45,58,33,36,26,40.2948242993329,0.000402542897889353,0.0551006564329931,0.968747742008382,0.999999433852421
"9703",9703,8,10,10,9,9,15,9.98638717352198,0.0012756717148625,0.0557658811342473,0.813796018206281,0.999999433852421
"9704",9704,35,56,33,38,50,38,40.8878418882014,-0.000245338372869518,0.0550796679210587,0.977923541587802,0.999999433852421
"9705",9705,145,143,125,123,109,102,123.481270281618,-0.000200628295558538,0.0539482273842358,0.987575137923151,0.999999433852421
"9706",9706,37,52,60,69,52,48,52.0543470307437,-0.00041229805377537,0.0548831746011201,0.968620840964407,0.999999433852421
"9707",9707,3,6,2,5,4,4,3.88475657050919,0.00124746150818279,0.0559223780213463,0.714643020256086,0.999999433852421
"9708",9708,12,15,15,19,21,20,16.7189668316129,0.000689283661490549,0.0555911339671427,0.920796436539607,0.999999433852421
"9709",9709,80,114,114,76,94,83,92.2567330938268,-0.00020583226418454,0.0542991370041916,0.985898138320918,0.999999433852421
"9710",9710,33,16,25,28,27,27,25.4179949059079,-1.28920830611217e-05,0.0553854036005565,0.997164990344915,0.999999433852421
"9711",9711,115,84,94,59,39,81,74.3804387873575,0.00078509559995575,0.0545641947866536,0.949879058009368,0.999999433852421
"9712",9712,46,59,70,45,68,68,58.3681108706923,9.27160680613577e-05,0.0547758734240038,0.991995804208759,0.999999433852421
"9713",9713,40,29,47,196,88,148,77.9929183147734,0.990472981511534,0.280287325375019,1.64765737756036e-05,0.00103199350648111
"9714",9714,152,213,197,195,278,170,197.183646067221,-1.93927805256546e-05,0.0533407395841707,0.997909966759907,0.999999433852421
"9715",9715,28,31,42,27,42,30,32.7908583203329,-0.000858880623337939,0.0552455553030893,0.923519725811053,0.999999433852421
"9716",9716,30,44,42,37,47,43,40.0879578128592,6.93833035804776e-05,0.0550925796896326,0.999666323578742,0.999999433852421
"9718",9718,55,58,40,51,51,51,50.6756916164189,-0.000904634683540741,0.0549116553932555,0.932364096829334,0.999999433852421
"9719",9719,122,85,118,86,120,88,101.778929323164,-0.000488680860158873,0.05418722359163,0.968646851295984,0.999999433852421
"9720",9720,33,29,35,28,46,42,34.9248195790347,0.000202554205145273,0.055193622064966,0.984840156513874,0.999999433852421
"9721",9721,48,71,84,68,81,83,71.2563672681655,-0.000188501010474882,0.0545814163205927,0.990529025432235,0.999999433852421
"9722",9722,48,52,46,62,57,51,52.3987913324649,-9.121685639371e-05,0.0548729214516713,0.991995806120845,0.999999433852421
"9723",9723,109,68,68,82,92,78,81.663761977167,-0.00031595224696381,0.0544354460965775,0.977692133840609,0.999999433852421
"9724",9724,59,76,69,64,128,110,80.8290920297947,0.000273872376445913,0.0544568413946319,0.983375723799128,0.999999433852421
"9725",9725,119,95,94,63,111,94,94.1979519148947,0.000271520627297185,0.0542777666579299,0.985020788457332,0.999999433852421
"9726",9726,70,68,75,75,88,96,78.0591870273088,-0.000769265318294852,0.0544905737142816,0.952203908485302,0.999999433852421
"9727",9727,125,119,195,170,139,112,140.453614266288,0.000181958835561249,0.0537869206159478,0.982734748194795,0.999999433852421
"9728",9728,21,17,21,21,19,18,19.4421079224851,-0.000474058618111463,0.0555197196386129,0.94629240790702,0.999999433852421
"9729",9729,72,107,108,66,78,98,86.5349097809777,0.00120461093997372,0.0543906843408815,0.926966717747725,0.999999433852421
"9730",9730,96,89,114,89,80,80,90.649790166225,-0.000536242301949864,0.0543204925198815,0.969349336747073,0.999999433852421
"9731",9731,70,95,96,102,82,97,89.6176033949896,0.000414716452657018,0.0543322628009849,0.97641953858346,0.999999433852421
"9732",9732,16,10,26,24,14,18,17.1286712169086,0.000678443778108215,0.055577578952055,0.923263680298168,0.999999433852421
"9733",9733,22,24,27,22,36,25,25.6147020989687,0.000732112178019422,0.0553876735969165,0.930714092868354,0.999999433852421
"9734",9734,52,42,43,43,31,37,40.8393981929649,0.000504588121338438,0.0550842013000837,0.96042083353865,0.999999433852421
"9735",9735,122,85,96,86,118,131,104.786367193153,-0.000187608016183515,0.054150542529392,0.987938341337113,0.999999433852421
"9736",9736,67,64,75,79,83,109,78.2692275741592,0.000976051260532264,0.0544945301163449,0.938321658952746,0.999999433852421
"9738",9738,69,79,85,73,76,86,77.7639903826573,-0.000148466290007702,0.0544856936296102,0.989341638293694,0.999999433852421
"9739",9739,43,46,46,28,49,46,42.3208946884114,0.000702727384228421,0.0550583692896601,0.945249409914071,0.999999433852421
